codigo,basureros,rank_basureros,reporte_falta_agua,rank_reporteagua,reportesretio,rank_reporteretio,aguaresidual,rank_aguaresidual,adecuacinsanitaria,rank_adecuacionsanitaria,dup,fbasureros,freporte_falta_agua,freportesretio,faguaresidual,fadecuacinsanitaria,ranking
5119,0,1,4,4,0,1,0,1,.98220003,4,0,1,4,1,1,5,3
5126,0,,0,,0,1,0,,0,,0,1,1,1,1,1,2
5128,0,,0,,0,1,0,,0,,0,1,1,1,1,1,2
5130,0,,1,2,0,1,0,,0,,0,1,3,1,1,1,2
5200,0,1,33,5,0,1,0,1,.96990001,4,0,1,5,1,1,4,3
5214,0,,0,,0,1,0,,0,,0,1,1,1,1,1,2
5219,0,1,2,3,0,1,0,1,.95029998,4,0,1,4,1,1,4,3
5220,0,1,0,1,0,1,0,1,.96899998,4,0,1,1,1,1,4,2
5230,0,1,0,1,1,4,0,1,.95139998,4,0,1,1,4,1,4,3
5238,0,,0,,0,1,0,,0,,0,1,1,1,1,1,2
5240,0,1,1,2,0,1,0,1,.98680001,4,0,1,3,1,1,5,3
5249,0,,0,,0,1,0,,0,,0,1,1,1,1,1,2
5260,0,1,23,5,1,4,0,1,.90700001,3,0,1,5,4,1,3,3
5268,0,,0,,0,1,0,,0,,0,1,1,1,1,1,2
5269,0,1,2,3,0,1,0,1,.74519998,1,0,1,4,1,1,3,2
5270,0,1,6,4,0,1,0,1,.93720001,3,0,1,4,1,1,4,3
5280,0,1,2,3,0,1,0,1,.87010002,2,0,1,4,1,1,3,2
5310,0,1,4,4,0,1,0,1,.9576,4,0,1,4,1,1,4,3
5320,0,1,7,4,0,1,1,5,.96920002,4,0,1,4,1,5,4,4
5348,0,1,11,4,0,1,0,1,.98299998,4,0,1,5,1,1,5,3
5349,0,,0,,1,4,0,,0,,0,1,1,4,1,1,2
5360,0,1,0,1,0,1,0,1,.93849999,3,0,1,1,1,1,4,2
5370,0,1,1,2,1,4,0,1,.89090002,2,0,1,3,4,1,3,3
5379,0,1,1,2,0,1,0,1,.8186,2,0,1,3,1,1,3,2
5400,0,1,19,5,0,1,0,1,.87440002,2,0,1,5,1,1,3,2
5500,0,1,34,5,0,1,0,1,.90829998,3,0,1,5,1,1,4,3
5501,1,5,0,1,0,,0,1,0,,0,5,1,1,1,1,2
5520,0,,2,3,0,1,0,,0,,0,1,4,1,1,1,2
5530,0,1,5,4,0,1,0,1,.92769998,3,0,1,4,1,1,4,3
5610,0,1,1,2,0,1,0,1,.4637,1,0,1,3,1,1,2,2
5619,0,,0,,0,1,0,,0,,0,1,1,1,1,1,2
5620,0,,2,3,0,1,0,,0,,0,1,4,1,1,1,2
5700,0,,18,5,1,4,0,,0,,0,1,5,4,1,1,3
5710,0,1,111,5,0,1,0,1,.7665,1,0,1,5,1,1,3,2
5730,0,1,35,5,0,1,0,1,.7992,1,0,1,5,1,1,3,2
5750,0,1,141,5,0,1,0,1,.6261,1,0,1,5,1,1,2,2
5760,0,1,4,4,0,1,0,1,.67049998,1,0,1,4,1,1,2,2
5780,0,1,0,1,0,1,0,1,.58590001,1,0,1,1,1,1,2,2
6000,0,1,10,4,6,5,0,1,.93580002,3,0,1,5,5,1,4,3
6010,0,1,7,4,0,1,0,1,.93580002,3,0,1,4,1,1,4,3
6018,0,,0,,0,1,0,,0,,0,1,1,1,1,1,2
6020,0,1,0,1,0,1,0,1,.93580002,3,0,1,1,1,1,4,2
6030,0,1,0,1,0,1,0,1,.97689998,4,0,1,1,1,1,5,2
6038,0,,0,,0,1,0,,0,,0,1,1,1,1,1,2
